ENTRY_EXIT_KEY,EMP_CODE,ENTRY_DATE,EXIT_DATE,ENTRY_PATTERN_CODE,EXIT_PATTERN_CODE,REASON_EXIT_CODE,LIB_ENTRY_PATTERN,LIB_EXIT_PATTERN,LIB_REASON_EXIT
16381_20150201_20150215,16381,2015-02-01,2015-02-15,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
16441_20160101_20160131,16441,2016-01-01,2016-01-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
1842_20150101_20200101,1842,2015-01-01,2020-01-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3301_20150907_20160107,3301,2015-09-07,2016-01-07,001,004,DEPRET,Nouvelle entrée                              ,Sortie                                       ,Départ volontaire à la retraite              
3302_20150907_20160107,3302,2015-09-07,2016-01-07,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3303_20150907_20160107,3303,2015-09-07,2016-01-07,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
2301_20150101_20210202,2301,2015-01-01,2021-02-02,001,004,CHOTOT,Nouvelle entrée                              ,Sortie                                       ,Chômage total                                
2024_20150101_20151031,2024,2015-01-01,2015-10-31,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
2621_20130701_20150225,2621,2013-07-01,2015-02-25,001,004,LICENC,Nouvelle entrée                              ,Sortie                                       ,Licenciement                                 
3262_20130101_20161223,3262,2013-01-01,2016-12-23,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
3441_20150909_20160109,3441,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3461_20150909_20160109,3461,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3482_20150909_20160109,3482,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3483_20150909_20160109,3483,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3484_20150909_20160109,3484,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3485_20150909_20160109,3485,2015-09-09,2016-01-09,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
2801_20150101_20150707,2801,2015-01-01,2015-07-07,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
3181_20150101_20150501,3181,2015-01-01,2015-05-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
3201_20150401_20150520,3201,2015-04-01,2015-05-20,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
3304_20150907_20160107,3304,2015-09-07,2016-01-07,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
3307_20140401_20150730,3307,2014-04-01,2015-07-30,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
2861_20150101_20150401,2861,2015-01-01,2015-04-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
3101_20121001_20121001,3101,2012-10-01,2012-10-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
3101_20121215_20121215,3101,2012-12-15,2012-12-15,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
3344_20120401_20150505,3344,2012-04-01,2015-05-05,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
2661_20121001_20121001,2661,2012-10-01,2012-10-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
2661_20121215_20121215,2661,2012-12-15,2012-12-15,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
2741_20150601_20230706,2741,2015-06-01,2023-07-06,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
2661_20130101_20150505,2661,2013-01-01,2015-05-05,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
3354_20150801_20150828,3354,2015-08-01,2015-08-28,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
2501_20150101_20150415,2501,2015-01-01,2015-04-15,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
4202_20150101_20150131,4202,2015-01-01,2015-01-31,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
